MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
2|à, vers|PP||X e @ X = nom|764||
3|aussi, en plus, en outre, aussi bien que, ainsi que, (ne) plus (dans une phrase négative)|PP||X mo @ X = phrase|765||
4|même, autant que, aussi nombreux que, aussi loin que, aussi longtemps que, pas moins de, pas inférieur à|PP|Utilisé pour souligner ou pour exprimer l'absence de doute concernant une quantité, etc.|X mo @ X = phrase|1354||
5|à la fois A et B, A aussi bien que B, ni A ni B (dans une phrase négative)|PP||X mo Y mo @ X/Y = nom|766;1262||
6|plus, plus loin, et aussi, encore, un autre, l'autre|PP|||||
7|et|PP||X to @ X = nom|767||
8|avec|PP||X to @ X = nom|768||
9|même si, bien que, malgré, alors même que, en dépit de|PP|Souvent en tant que -temo, -demo, etc.|X mo @ X = phrase|||
10|marqueur d'objet|PP|Utilisé dans les phrases comme "to imasu" et "to moshimasu".|X to @ X = phrase|||
11|si, dans le cas où, quand|CO|ME#0101;0102||||
12|particule utilisée pour citer (discours, pensée, etc.)|PP|||||
13|indique une question (en fin de phrase)|PP|||||
14|pion promu|N|||||
15|à la minute (où)..., à peine..., aussitôt que|PP|||||
16|indique une question|PP|||||
17|des choses telles que (liste non exhaustive liée à un moment et un lieu précis), et... et|PP||X ya Y @ X/Y = nom|||
18|ponctuation d'exclamation dans le haïku, le renga, etc.|PP|||||
19|interjection de surprise|PP|||||
20|salut|PP|||||
21|copule simple|PP|||||
22|oui, quoi ?|PP|||||
23|et cetera, etc., et ainsi de suite|PP||X nado @ X = liste of noms|769;1291||
24|ou autre chose|PP|||||
25|comme|PP|||||
26|de, fait de|PP||X no @ X = nom|770||
27|prononciation de trait d'union|PP||X no Y @ X/Y = élément|772||
28|ton féminin|PP|Utilisé à la fin d'une phrase.|X no @ X = phrase|773||
29|marqueur de question|PP|Alternative à "ka", utilisée dans les discours informels.|X no @ X = phrase|||
30|descripteur de nom|PP|Utilisé pour indiquer un type spécifique de sujet.|X no Y @ Y = nom, X = descripteur|774||
31|en fait, en effet|PP|Utilisé pour mettre l'accent sur la phrase, plus poli que "n".|X no da @ X = verbe (tous les temps)|775;776;777||
32|adoucisseur de politesse|PP|Utilisé comme adoucissant pour la phrase, plus poli que "n".|X no @ X = verbe|778;779||
33|transforme le verbe en nom verbal|VC|Utilisé pour transformer un verbe en nom (tous les temps simples), similaire en fonction à "koto" en formant un gérondif.|X no @ X = verbe forme simple|867;1387;1388;1389||
34|abréviation pour indicateur possessif|PP||X no @ X = phrase|1479||
35|substitue "ga" dans les phrases subordonnées|PP|||||
36|(à la fin de la phrase, baisse du ton) indique une conclusion en confiance|PP|||||
37|(à la fin de la phrase) indique une accentuation émotionnelle|PP|||||
38|se transforme en pronom puis utilisé comme sujet|PP|Il s’agit d’une combinaison de deux particules: un marqueur possessif «non» et un indicateur de sujet «ga». Il transforme la phrase (adverbe, adjectif, verbe) en un nom utilisable comme sujet d'une phrase englobante. La phrase d'introduction requiert à son tour le marqueur de sujet "ga" en raison des règles de grammaire qui le régissent.|X no ga @ X = phrase|771;1453;1480||
39|description/avis sur une action|CO|[description Y/opinion Y] d'une action X. Transmet l'avis d'un intervenant sur une action. Le "non" transforme le verbe relevan en un nom, le "ga" indique le verbe objet et le "Y da" correspond à l'état descriptif de l'être (aimer, être bon, etc.).|X no ga Y da @ X = verbe forme simple, Y = suki, kirai, ii, warui, jouzu, etc..|1387||
40|transforme en nom pour utilisation comme sujet|PP|Il s’agit d’une combinaison de deux particules: un marqueur possessif "non" et un indicateur d’objet "wo". Il transforme la phrase (adverbe, adjectif, verbe) en un nom utilisable comme objet d'une phrase englobante. La phrase d'introduction requiert à son tour le marqueur de sujet "wo" en raison des règles de grammaire qui le régissent.|X no wo @ X = phrase|1455||
41|en fait, en effet|PP|Utilisé pour mettre l'accent sur la phrase, forme casuelle de "no".|X n @ X = verbe|780;781;782||
42|adoucissant, accentateur|PP|Utilisé pour adoucir/accentuer la phrase, forme casuelle de "no".|X n @ X = verbe|783;784;1481;1482||
43|oui, hein hein|OI|||||
44|euh quoi?|OI|||||
45|ne pas|Sx|||||
46|le sien|PP|Abréviation de "no" en tant que marqueur possessif.||||
47|à (un lieu, une heure), dans, sur, pendant|PP|Abréviation de la particule "ni".||||
48|indique l'objet dune action directe|PP||X wo Y @ X = objet, Y = verbe|785;1343||
49|indique le sujet d'une expression causative|PP||X wo Y ga … @ X = objet, Y = verbe fore gérondive|786;787;1505||
50|indique le point de départ ou la séparation de l'action|PP|Utilisé pour les verbes "partir": deru, oru, etc.|X wo Y @ X = objet, Y = verbe|788;789;1507||
51|indique une zone traversée|PP|Utilisé pour les verbes "passer par": magaru, etc.|X wo Y @ X = objet, Y = verbe|1504||
52|at, indique le temps (période) pendant lequel l'action a lieu|PP||X wo @ X = nom temporel|1506||
53|indique un objet de désir, comme de la haine, etc.|PP||X wo @ X = objet|1508||
54|marqueur de sujet|PP||X wa @ X = sujet|790;791||
55|marqueur de choix, indique un contraste avec une autre option (indiquée ou non)|PP|de tout les X, Y est ... Présente l'ensemble à partir duquel un choix peut être fait.|X wa Y … @ X/Y = nom|792||
56|marqueur d'objet de verbe|PP|Utilisé à la place de wo/ga lors d'une déclaration générale (par opposition à wo/ga).|X wa @ X = objet|793||
